TIPOLOGIA_STRUTTURA;ASP;DENOMINAZIONE_STRUTTURA;INDIRIZZO_SEDE_OPERATIVA;CITTA';SOGGETTO_GESTORE;INDIRIZZO_SEDE_LEGALE;NUMERO_TELEFONO;PEC;PROVVEDIMENTO_DI_ACCREDITAMENTO
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Studio/Ambulatorio Libero Professionale del Dott. Remo Battendieri;C.da Mancarelli snc;Roggiano Gravina;Studio/Ambulatorio Libero Professionale del Dott. Remo Battendieri;"C.da Mancarelli snc
Roggiano Gravina";0984 503815;remo.battendieri.fciu@cs.omceo.it;DECRETO DEL COMMISSARIO AD ACTA DEL 14/01/2022
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Centro Diagnostico e Poliambulatorio Specialistico Adelchi;Via Dogana Angolo Via Monte Amiata;Amantea;Centro Clinico San Vitaliano S.r.l.;"Via Tommaso Campanella n. 60
Catanzaro";0961 773834;centroclinicosanvitaliano@pec.it;DCA N. 05 del 09/01/2023
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Studio Odontoiatrico Dr. Alberto Riccardi;Via Della Grotta n. 3;Praia a Mare;Studio Odontoiatrico Dr. Alberto Riccardi;"Via Della Grotta n. 3
Praia a Mare";0985 74069 ;alberto.riccardi.s.7bk@cs.omceo.it;DCA N. 07 del 09/01/2023
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Laboratorio analici cliniche della Dr.ssa Canino Marina Francesca;Via Ex Strada Statale 19 n. 57;Mangone;Laboratorio analici cliniche della Dr.ssa Canino Marina Francesca;"Via Ex Strada Statale 19 n. 57
Mangone";;marinafrancesca.canino@pec.it;DCA N. 13 del 09/01/2023
STABILIMENTO TERMALE;CS;Terme Sibarite SpA;Loc. Terme Luigiane;Acquappesa;Terme Sibarite SpA;Via Terme, 2 Cassano allo Jonio (CS);0981 71376;termesibarite@legalmail.it;"D.P.G.R. N. 1/2011
DCA N. 85 del 16/08/2022"
STABILIMENTO TERMALE;CS;Terme Sibarite S.p.a.;Via delle Terme, 2;Cassano allo Jonio;Terme Sibarite s.p.a.;Via Terme, 2 Cassano allo Jonio (CS);0981 71376;termesibarite@legalmail.it;DCA N. 21 del 10/01/2023
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;KR;Centro Radiologico Piro s.r.l.;Via Giovanni Paolo II,16/20;Crotone;Centro Radiologico Piro s.r.l.;Via Giovanni Paolo II,18 Crotone;0962 21590;centroradiologiamedicapiro@pec.it;"D.P.G.R. N. 1/2011 DCA N.66 DEL 13/7/2016 Nota prot. n. 104245/2018
DCA N. 45 del 09/02/2023"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;KR;Centro Radiologico  di Diagnostica e Roentgenterapia FAMILIARI di F. Ciliberto & C. s.a.s.;Via M. Nicoletta;Crotone;Centro Radiologico FAMILIARI di F. Ciliberto & C. s.a.s.;Via M. Nicoletta Crotone;0962 23971 - 3485150145;centrofamiliari@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;KR;"Presidio di Riabilitazione Estensiva
Extraospedaliera Centro San Giuseppe ""Centro Diagnostico per Immagini”";Via S. Baffa, 250;Cotronei;SADEL di Salvatore BAFFA SpA;Via degli Scipioni, 252 Roma;0962 44344;sadel.spa@pec.it;"D.P.G.R. N. 1/2011 Nota prot. n. 152189 del 14/05/2015
DCA n. 44 del 04/02/2020
"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;KR;Polispecialistica BIOS s.r.l. ;Via Panella, 137;Crotone;Polispecialistica BIOS srl;Piazza Umberto I°, 41 Crotone;0962 22115;info@pec.biosmedica.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;KR;Centro STARBENE s.r.l.;Largo Covelli, 4;Crotone;STARBENE s.r.l.;Largo Covelli, 4 Crotone;0962 26961;starbenekr@pec.it;DCA N. 63 del 21/02/2023
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;KR;Fisiokinesiterapico SALUS s.r.l.;Via P. Zito n.10;Crotone;Fisiokinesiterapico SALUS s.r.l.;Via P. Zito, 10 Crotone;0962 24700;fktsalus@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;KR;ANMIC RIABILITAZIONE;Via P. Impastato, 57;Crotone;ANMIC RIABILITAZIONE;Via P. Impastato, 57 Crotone;0962 28071;anmiccdr@legalmail.it;D.P.G.R. N. 1/2011 DCA 145/2018
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;KR;Atena s.r.l. Servizi Sanitari;Via  B. Telesio/Galluppi;Crotone;Atena s.r.l. Servizi Sanitari;Via B. Telesio, 21 Crotone;0962 1920111;rosatena@peccenacolo.com;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;KR;R.M. s.r.l. di Scalise Francesco & C.;Via Caponnetto, 5;Crotone;R.M. s.r.l. di Scalise Francesco & C.;Via Caponnetto, 5 Crotone;0962 29907;r.m.sas@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;KR;Studio Dentistico Dr. Nicola GARRITANI s.r.l.;Via Giovanni XXIII;Strongoli;Studio Dentistico Dr. Nicola GARRITANI s.r.l.;Via Giovanni XXIII Strongoli;0962 072613;garritanisrl@pec.it;DCA 103 del 30/08/2022
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;KR;Studio Dentistico Dr. Marrazzo Costantino s.r.l. Unipersonale;Via Marinella, 27;Crotone;Studio Dentistico Dr. Marrazzo Costantino s.r.l. Unipersonale;Via M. F. Rocca, 7 Mesoraca (KR);0962 20570;studiodentisticomarrazzocostantinostp@pec.it;D.P.G.R. N. 1/2011 DCA 148/2018
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;KR;Istituto Stomatologico Meridionale S.r.l.;Via XXIX Ottobre;Torre Melissa ;Istituto Stomatologico Meridionale S.r.l.;"Via XXIX Ottobre
Torre Melissa (KR)";0962 865137;istitutokr@mypec.eu;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;KR;Poliambulatorio SALUS S.r.l.;Via Reggio, 2;Isola Capo Rizzuto;SALUS S.r.l.;Via Reggio, 2 Isola Capo Rizzuto (KR);0962 791131;salus.srl@legalmail.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;KR;Studio Dentistico C.M.G. s.r.l.;Via XXV Aprile, 46;Crotone;C.M.G. Centro Medico Gentile Srl;Via XXV Aprile, 46 Crotone;0962 900610;cmgsrl@mypec.eu;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;KR;ARS MEDICA SERVIZI s.r.l.  del Dr. Domenico Paletta;Via Fibonacci;Crotone;ARS MEDICA SERVIZI s.r.l.;"Via Fibonacci
Crotone";0962 29459;arsmedicacom@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;KR;TURANO C. & C. s.r.l.;Via Tommaso Campanella, 52;Crotone;TURANO C. & C. s.r.l.;Via Tommaso Campanella, 52 Crotone;0962 27713;centroturano@lamiapec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;KR;Centro Medico IGEA               ex Casa di Cura Reumatologica Oliveti spa;Via Mediterraneo, 21;Crotone;Progetto Terza Età Srl;Loc. Pozzoseccagno Cutro (KR);0962 902782;ptesrl@pec.it;DCA N. 113/2015
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;KR;Studio Medico Fisiokinesiterapico Alcmeone del Dott. Antonio Gentile S.a.s.;Piazza I Maggio, 3;Isola Capo Rizzuto;Studio Medico Fisiokinesiterapico Alcmeone del Dott. Antonio Gentile S.a.s.;"Via C. Colombo , 6
Isola Capo Rizzuto (KR)";0962 791505;pecstudiomedico@legalmail.it;DCA N. 44 del 08/02/2023
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CZ;Studio Radiologico S. Domenico di A. Cristiano & C. s.a.s.  ;Via Musolino Pal. Pileggi;Lamezia Terme;Studio Radiologico S. Domenico di A. Cristiano & C. s.a.s.  ;Via Musolino, 4 Lamezia Terme (CZ);0968 221802;studiocristiano@sicurezzapostale.it;"DCA N. 93/2014 
DCA N. 96 del 30/08/2022"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CZ;Fondazione BETANIA ONLUS;Via Molise, 31;Catanzaro;Karol Betania Strutture Sanitarie S.r.l.;Via Molise, 21 Catanzaro;0961 763111;fondazionebetania@pec.it;"D.P.G.R. N. 1/2011 Nota prot. n. 68691 del 18/02/2019 Nota prot. n. 408636 del 27/11/2019 
"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CZ;Centro Medico Diagnostico - ALGOS Srl;Via F. Chiaravalloti;Cropani Marina;ALGOS Srl;Via F. Chiaravalloti Cropani Marina (CZ);0961 961334;algossrl@blupec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CZ;Villa Elisa Soverato s.r.l.;Via Galliano, 12/14;Soverato;Villa Elisa Soverato s.r.l.;Via Galliano, 14 Soverato (CZ);0967 521370;villaelisa@legalmail.com;"D.P.G.R. N. 1/2011
PRESA D'ATTO n.406110 del 06/12/2012"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CZ;Ambulatorio di Medicina Riabilitativa;Via Frischia, ,139;Sellia Marina;Medicina Riabilitativa s.r.l.;Via Frischia, 139 Sellia Marina (CZ);0961 964071;medicinariabilitativa@pec.it;"D.P.G.R. N. 138/2013
"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CZ;CE.MO.FIS. - Centro Medico Ortopedico Fisiokinesiterapico Sportivo S.A.S.;Viale Magna Grecia 197/O;Catanzaro;CE.MO.FIS. S.A.S.;Viale Magna Grecia 197/O Catanzaro;0961 746204;cemofis@pec.it;"D.P.G.R. N. 29/2014

"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CZ;Poliambulatorio Dr.ssa Levato Antonia;Via Nazionale, 35;Sellia Marina;Studio Odontoiatrico Dr.ssa Levato Antonia;Via Nazionale, 35 Sellia Marina (CZ);0961 964789;levato.antonia@pec.cgn.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CZ;Poliambulatorio Medico Specialistico Levato S.a.s. di Levato A. & C.;Via Nazionale, 35;Sellia Marina;Poliambulatorio Medico Specialistico Levato S.a.s. di Levato A. & C.;"Loc. Basilicata, snc
Cropani";0961 964789;poliambulatoriosas@pec.it;"D.P.G.R. N. 1/2011 
DCA n. 133 del 19/10/2017 DCA N. 245 DEL 06/12/2018 Nota prot. n. 68713 del 18/02/2019"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CZ;FISIOKINESITERAPICA Sud s.r.l.;Via G. Staglianò;Chiaravalle Centrale;FISIOKINESITERAPICA Sud s.r.l.;Via G. Staglianò, 489 Chiaravalle C.le (CZ);0967 91717;fktsrl@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CZ;Istituto Fisiokinesiterapico Sporting Club s.n.c. ;Via Lombardi-Scopelliti;Catanzaro;Istituto Fisiokinesiterapico Sporting Club s.n.c. ;Via Scopelliti, 2 Catanzaro;0961 777913;sportingclub@certificatamail.it;D.P.G.R. N. 1/2011 Nota prot. n. 206216 DEL 12/6/18
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CZ;Dental Medical s.r.l.;Via A. Turco, 89;Catanzaro;Dental Medical s.r.l.;Via A. Turco, 89 Catanzaro;0961 727988;dentalmedicalsrl@pec.it;"D.P.G.R. N. 1/2011 Nota prot. n. 10499 del 16/01/2017

Nota prot. N. 491 21/06/2011"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CZ;Studio Dentistico Dr. Giovanni Verzina;Via Ludovisi, 7;Botricello;Studio Dentistico Dr. Giovanni Verzina;Via Ludovisi, 12 Botricello (CZ);0961 532565;studioverzina@pec.it;"DCA N. 88/2014
"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CZ;"Alessia s.r.l.
Centro Odontoiatrico Calabrese ";Via Scesa Eroi 1799, 23;Catanzaro;Alessia s.r.l.;Via Scesa Eroi 1799, 23 Catanzaro;0961 723200;alessia.srl@arubapec.it;"D.P.G.R. N. 1/2011 
DCA n. 114/2015 Nota prot. N.116835 DEL 05/04/2017"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CZ;Studio Odontoiatrico Dr. Procopio Antonio;Via SS. Rosario ;Sellia Marina;Studio Odontoiatrico Dr. Procopio Antonio;Via SS. Rosario Sellia Marina (CZ);335 8386323;antonioprocopio1@pec.it               ;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CZ;Ambulatorio Specialistico di Oculistica EOS S.R.L;C.da San Nicola Villetta, 10;Soverato;EOS S.r.l.;Via S. Nicola, 27 Soverato (CZ);0967 736209 -339 5041638;eosoculistica63@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CZ;Studio Medico di Otorinolaringoiatria Dr.  Primerano Giovanni;Via F.lli Drosi snc;Satriano;Studio Medico di Otorinolaringoiatria Dr.  Primerano Giovanni;Via F.lli Drosi snc Satriano (CZ);0967 521469;giovanni.primerano.la0b@cz.omceo.it;D.P.G.R. N. 1/2011 Nota prot. N. 493 DEL 21/06/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CZ;Diagnostica Nausicaa s.r.l.;Via Costa degli Aranci, 2;Montauro Scalo;Diagnostica Nausicaa s.r.l.;Via Costa degli Aranci, 2 Montauro (CZ);0967 577613;frigas@legalpec.net;D.P.G.R. N. 1/2011 Nota prot. n. 110311/2018
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CZ;Centro Cilnico S. Vitaliano s.r.l.;Via T. Campanella, 60;Catanzaro;Centro Cilnico S. Vitaliano s.r.l.;Via T. Campanella, 60 Catanzaro;0961 773834-0984 163695;centroclinicosanvitaliano@pec.it;"DCA n. 147 del 20/07/2018 
DCA n. 155 del 26/11/2019 
DCA n. 173 del 05/12/2019"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CZ;Studio Odontoiatrico Libero Professionale del Dott. Dario Condò;Corso Umberto I, 290;Soverato;Studio Odontoiatrico Libero Professionale del Dott. Dario Condò;"Corso Umberto I, 290
Soverato (CZ)";;dariocondo@pec.it;DCA N. 98 del 30/08/2022
STABILIMENTO TERMALE;CZ;Terme Caronte s.p.a.;C.da Caronte;Lamezia Terme;Terme Caronte s.p.a.;C.da Caronte Lamezia Terme (CZ);0968 437180-0968 27996;termecaronte@pec.it;DCA N. 115 del 26/04/2023
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;VV;Studio Radiologio dei Dottori Giuseppe e Piefrancesco Maruccio s.n.c.;Via Spogliatore, 34;Vibo Valentia;Studio Radiologio dei Dottori Giuseppe e Piefrancesco Maruccio s.n.c.;Via Spogliatore, 34 Vibo Valentia;0963 41082;studio.maruccio@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;VV;Studio Radiologico Riga S.r.l.;Via Lacquari, Pal. Rizzuti;Vibo Valentia;Studio Radiologico Riga S.r.l.;Via Lacquari, Vibo Valentia;0963 591412;studioriga@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;VV;Studio Radiologioco Hipponion s.n.c.di La Gamba A.;Via San D. Savio, 12;Vibo Valentia;Studio Radiologioco Hipponion s.n.c.di La Gamba A.;Via San D. Savio, 12 Vibo Valentia;0963 471659;hipponion@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;VV;ASPR VIGI 2 s.r.l.;Viale della Pace I Trav. N. 1/A;Vibo Valentia ;ASPR VIGI 2 s.r.l.;Via Matilde Serao, 2 Vibo Valentia;0963 301256;info@pec.centrovigi.it;D.P.G.R. N. 1/2011 Nota prot. n. 1165 12/10/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;VV;TERI s.r.l. Studio di Fisioterapia e Riabilitazione;Via Bucciarelli,12;Vibo Valentia;TERI s.r.l.;Via Bucciarelli,12 Vibo Valentia;0963 44005;terisrl@pcert.it;D.P.G.R. N. 1/2011 Nota prot. n. 283427 23/08/2012
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;VV;Studio Odontoiatrico Dr.ssa D'Elia Lucia Letizia;Via Collina degli Angeli, 36;Sorianello;Studio Odontoiatrico Dr.ssa D'Elia Lucia Letizia;Via Collina degli Angeli, 36 Sorianello (VV);0963 352288;lucialetiziadelia@pec.andi.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;VV;Renaissance s.a.s. di Colelli Francesco;Via Giosuè Carducci;Ionadi;Renaissance s.a.s. di Colelli Francesco;Via Nazionale S.S. 18 snc Ionadi (VV);0963 263494;renaissancesas@pec.it;D.C.A. n. 70 del 16/04/2019
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;VV;Physiomedical;Viale della Pace snc;Serra San Bruno;Physiomedical;"Viale della Pace snc
Serra San Bruno (VV)";0963 1964020;danieledenino@pec.it;DCA N. 105 del 30/08/2022
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;VV;Laboratorio Analisi Cliniche Biolab Dr. Roberto Nisticò;Via A. Moro, 4;Serra San Bruno;Laboratorio Analisi Cliniche Biolab Dr. Roberto Nisticò;Via A. Moro, 4 Serra San Bruno (VV);0963 71376;biolabnistico@pec.it;"D.P.G.R. N. 1/2011 
Attività sospesa"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Studio Radiologico S.r.l.;Via E. Fermi, 107;Siderno;Studio Radiologico S.r.l.;Via E. Fermi, 103 Siderno (RC);0964 3821211;amministrazione@pec.studiorad.it;D.P.G.R. N. 1/2011 Nota prot. n. 209693/2018
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Studio Radiologico S.r.l.;Via Progresso, 41/43;Siderno;Studio Radiologico S.r.l.;Via E. Fermi, 103 Siderno (RC);0964 382111;amministrazione@pec.studiorad.it;D.P.G.R. N. 1/2011 Nota prot. n. 209693/2018
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Nuova Radiodiagnostica Polifroni  s.a.s.;Via Matteotti, 146;Locri;Nuova Radiodiagnostica Polifroni  s.a.s.;Via Matteotti, 210 Locri (RC);0964 21720;nuovarad@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Centro Medico ToMmaso Campanella s.r.l.;Via Nazionale Jonica, 308;Monasterace;Centro Medico Tonmaso Campanella s.r.l.;Via Nazionale Jonica, 308 Monasterace (RC);0964 735024;centromedicotc@pec.it;D.P.G.R. N. 1/2011 Nota prot. n. 242229/2018
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Medical Dental Dr. G. Strangio & C. s.a.s.;Piazza Marconi, 6;Siderno ;Medical Dental Dr. G. Strangio & C. s.a.s.;Piazza Marconi, 6 Siderno (RC);0964 387036;medicaldental@pecimprese.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Centro Odontoiatrico Paola Spadaro s.r.l.;Via Domenico Brancatisano, 2;Ardore ;Centro Odontoiatrico Paola Spadaro s.r.l.;Via Domenico Brancatisano, 2 Ardore (RC);0964 628438;centroodontoiatricopaolaspadaro@legalmail.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Raschellà Odontoiatria e Medicina s.r.l.;Via Milite Ignote, 34;Locri;Raschellà Odontoiatria e Medicina s.r.l.;Via Milite Ignote, 34 Locri (RC);0964 040072;raschellaodontoiatria@pec.raschellaodontoiatria.it ;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Studio Odontoiatrico Dr. Marando Domenico Giovanni;Via Nazionale, 120;Bianco;Studio Dentistico Dr. Domenico Marando Srl;Via Nazionale, 193 Bianco (RC);0964 911756;studiomarando@gigapec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Studio Medico Dentistico Dr. Antonino Praticò;C.so Umberto I, 137;Brancaleone;Studio Medico Dentistico Dr. Antonino Praticò;C.so Umberto I, 137 Brancaleone (RC);0964 933266;pratico.nino@pec.it;D.P.G.R. N. 1/2011 D.C.A. n. 28 del 20/02/2019
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Centro Odontoiatrico Paola Spadaro s.r.l.;Via Zara, 34;Locri;Centro Odontoiatrico Paola Spadaro s.r.l.;Via Zara, 34 Locri (RC);0964 20296;centroodontoiatricopaolaspadaro@legalmail.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Centro Odonto-Medical Company del Dr. Pancallo s.r.l.;C.so Garibaldi;Siderno;Centro Odonto-Medical Company del Dr. Pancallo s.r.l.;C.so Garibaldi Siderno (RC);0964 343185;renato.pancallo@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Medi-Odonto-Center s.r.l.;Via Santa Tecla 19/c;Gioiosa Jonica;Medi-Odonto-Center s.r.l.;Via Santa Tecla 19/c Gioiosa Jonica (RC);0964 51637;medi.odonto.center.srl@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Policlinico di Monza Casa di Cura S.p.a.            (ex Centro Ric. Card. D.A.Cooley);Viale Calabria, 14;Bovalino;Policlinico di Monza Casa di Cura S.p.a.    ;Via Passalacqua, 10 Novara;0964 61316;direzione.generale@policlinicodimonza.legalmail.it;D.P.G.R. N. 1/2011 Nota prot. n. 283416 23/08/2012 Nota prot. n. 145960/2018
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Studio di Cardiologia Dr.ssa Musitano Maria Antonia ;Via Cirillo, 3;Bovalino;Studio di Cardiologia Dr.ssa Musitano Maria Antonia ;Via Cirillo, 3 Bovalino (RC);0964 66137;musitano@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Studio Medico Polispecialistico S. Anna di M. Saiaci & C. s.a.s.;Via Prolungamento Iannizzi ;Laureana di Borrello;Studio Medico Polispecialistico S. Anna di M. Saiaci & C. s.a.s.;Via S. Anna, 5 Laureana di Borrello (RC);0966 25195;studiomedicosantanna@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Studio Medico Polispecialistico S. Anna di M. Saiaci & C. s.a.s.;Via S. Anna, 5      ;Laureana di Borrello;Studio Medico Polispecialistico S. Anna di M. Saiaci & C. s.a.s.;Via S. Anna, 5 Laureana di Borrello (RC);0966 25195;studiomedicosantanna@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Studio Medico Polispecialistico S. Anna di M. Saiaci & C. s.a.s.;Via B. Buozzi, 169;Palmi;Studio Medico Polispecialistico S. Anna di M. Saiaci & C. s.a.s.;Via S. Anna, 5 Laureana di Borrello (RC);0966 25195;studiomedicosantanna@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Centro Medico Diagnostico IMAGINE SYSTEM s.r.l. ;Via Nazionale - 111, 187;Gioia Tauro ;IMAGINE SYSTEM s.r.l. ;Via Nazionale, 111 Gioia Tauro (RC);0966 500623;imaginesystem@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Centro Polispecialistico RONTGEN s.r.l.;Via Roma, 15                 ;Gioia Tauro;RONTGEN s.r.l.;Via Roma, 15 Gioia Tauro (RC);0966 55888;centroroentgen@arubapec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Studio Radiologico Dr. Vincenzo Arceri s.a.s.;Via Circonvallazione n. 262/264 (oggi Viale Prof. Vincenzo Ricci);Taurianova;Studio Radiologico Dr. Vincenzo Arceri s.a.s.;Viale Prof. V. Ricci, 262/264 Taurianova (RC);0966 643454;vincenzo.arceri.mwsb@rc.omceo.it;"D.P.G.R. N. 1/2011 
DCA N. 23 del 22/04/2015"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Gamma Poliambulatorio Specialistico S.r.l.;Via Piria, 25;Gioia Tauro;Gamma Poliambulatorio Specialistico S.r.l.;Via Piria, 25 Gioia Tauro (RC);3470781686;gammapoliambulatorio@pec.it;"D.P.G.R. N. 1/2011 
DG N. 10300 del 07/09/2022
DCA N. 101 del 30/08/2022
DCA N. 166 del 29/11/2022
"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Alfa s.a.s. di Riccardo Tigani;Via Scultore G.Renda, 14;Polistena;Alfa s.a.s. di Riccardo Tigani;Via Scultore G.Renda, 14 Polistena (RC);0966 932535;alfasaspolistena@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Ortofisiomedical di Misiti F e C  S.a.s;Via Morandi, 12;Cinquefrondi;Ortofisiomedical di Misiti F e C  S.a.s;Via Morandi, 14 Cinquefrondi (RC);0966 949364;ortofisiomedical@legalmail.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Studio Odontoiatrico Polispecialistico Russo S.r.l.;Via Bellini, 28;Gioia Tauro;Studio Odontoiatrico Polispecialistico Russo S.r.l.;Via Bellini, 28 Gioia Tauro (RC); 0966 51677  ;studiorusso@arubapec.it;"D.P.G.R. N. 134/2013
"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Odontomedica  di Vecchio Domenica & C.s.a.s.;Via P. Nenni;Rosarno;Odontomedica  di Vecchio Domenica & C.s.a.s.;Via P. Nenni Rosarno (RC);0966 773747;odontomedicasas@legalmail.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Studio di Cardiologia Greco S.r.l.;Via Convento, 19;Rosarno;Studio di Cardiologia Greco S.r.l.;Via Convento, 19 Rosarno (RC);0966 773577;studiodicardiologiagrecosrl@pec.it;D.P.G.R. N. 1/2011 DCA n. 61 del 06.04.17
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;ECORAD s.r.l.  Studio di Radiologia ed Ecografia ;Via Marconi, 38;Villa S. Giovanni;ECORAD s.r.l.  Studio di Radiologia ed Ecografia ;Via Marconi, 38 Villa S. Giovanni (RC);0965 758156;ecorad@pec.it;D.P.G.R. N. 1/2011 Nota prot. n. 11032/2019 DCA n. 185 del 20.12.2019 DCA n. 186 del 20.12.2019
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Centro Diagnostico per Immagini C.E.D. s.r.l.;Via Torrione prol., 55;Reggio Calabria ;Centro Diagnostico per Immagini C.E.D. s.r.l.;Via Torrione Prol., 55 Reggio Calabria;0965 811855;cedrcsrl@pec.it;"D.P.G.R. N. 1/2011 
DCA n. 30 del 28/01/2020"
